Subject	Years	Strand	Substrand	CDCode	Content description	Elaboration
Digital technologies	Years 9 and 10	Knowledge and understanding	Digital systems	AC9TDI10K01	investigate how hardware and software manage, control and secure access to data in networked digital systems	explaining how the operating system hides the complexity of different hardware from applications, for example applications can treat input from a mouse and touch screen in the same way
Digital technologies	Years 9 and 10	Knowledge and understanding	Digital systems	AC9TDI10K01	investigate how hardware and software manage, control and secure access to data in networked digital systems	exploring how public key cryptography, for example TLS, and hashing, such as SHA-1, secure the storage and transmission of data
Digital technologies	Years 9 and 10	Knowledge and understanding	Digital systems	AC9TDI10K01	investigate how hardware and software manage, control and secure access to data in networked digital systems	configuring a simple network using real or simulated hardware and observing packets moving around the network, for example monitoring packets on simulated switches and networked devices
Digital technologies	Years 9 and 10	Knowledge and understanding	Digital systems	AC9TDI10K01	investigate how hardware and software manage, control and secure access to data in networked digital systems	explaining how domain names and IP addresses allow data to be transmitted to specific networked devices, for example DNS and routing tables
Digital technologies	Years 9 and 10	Knowledge and understanding	Digital systems	AC9TDI10K01	investigate how hardware and software manage, control and secure access to data in networked digital systems	describing elements of access control and explaining why they are necessary, for example authentication and permissions for restricting access to install software to administrators
Digital technologies	Years 9 and 10	Knowledge and understanding	Data representation	AC9TDI10K02	represent documents online as content (text), structure (markup) and presentation (styling) and explain why such representations are important	representing documents by separating the content (the text in the document), the structure (the document structure such as headings and paragraphs) and presentation (how the document is laid out and styled)
Digital technologies	Years 9 and 10	Knowledge and understanding	Data representation	AC9TDI10K02	represent documents online as content (text), structure (markup) and presentation (styling) and explain why such representations are important	writing web pages using HyperText Markup Language (HTML) for the content and structure and Cascading Style Sheets (CSS) for styling the page and explaining how HTML tags separate content from structure
Digital technologies	Years 9 and 10	Knowledge and understanding	Data representation	AC9TDI10K02	represent documents online as content (text), structure (markup) and presentation (styling) and explain why such representations are important	explaining how representing content, structure and presentation separately allows each of them to be designed, edited, manipulated and stored independently of the others and why this is important
Digital technologies	Years 9 and 10	Knowledge and understanding	Data representation	AC9TDI10K03	investigate simple data compression techniques	using an algorithm to identify patterns in data and represent them in a compressed way, for example repeated pixels in an image with run-length encoding
Digital technologies	Years 9 and 10	Knowledge and understanding	Data representation	AC9TDI10K03	investigate simple data compression techniques	exploring the difference between lossy and lossless compression and the consequences of each, for example exploring codecs for audiovisual compression such as MP3, MP4 and WAV formats, considering energy requirements of file sizes
Digital technologies	Years 9 and 10	Knowledge and understanding	Data representation	AC9TDI10K03	investigate simple data compression techniques	examining an image and discussing whether the image quality would be compromised if all the blue pixels of the sky in one row were to be replaced by one token and the number of pixels it represents
Digital technologies	Years 9 and 10	Processes and production skills	Acquiring, managing and analysing data	AC9TDI10P01	develop techniques to acquire, store and validate data from a range of sources using software, including spreadsheets and databases	developing systems that store structured data, for example a movie or travel review website that collects Likert scale ratings and written reviews
Digital technologies	Years 9 and 10	Processes and production skills	Acquiring, managing and analysing data	AC9TDI10P01	develop techniques to acquire, store and validate data from a range of sources using software, including spreadsheets and databases	developing systems that check data is correct and meaningful using automated techniques and manual analysis, for example, validating movie review data using rules and user interface elements, and detecting bias and fake reviews through simple statistical analysis
Digital technologies	Years 9 and 10	Processes and production skills	Acquiring, managing and analysing data	AC9TDI10P01	develop techniques to acquire, store and validate data from a range of sources using software, including spreadsheets and databases	developing systems that acquire, use and protect data according to the Australian Privacy Principles, for example ensuring personally identifiable information is not publicly shared without consent and is protected from unauthorised access
Digital technologies	Years 9 and 10	Processes and production skills	Acquiring, managing and analysing data	AC9TDI10P01	develop techniques to acquire, store and validate data from a range of sources using software, including spreadsheets and databases	accessing and storing data from the Australian Bureau of Statistics in a format that is useful for analysis, for example acquiring data on the population growth across age groups in Australia
Digital technologies	Years 9 and 10	Processes and production skills	Acquiring, managing and analysing data	AC9TDI10P01	develop techniques to acquire, store and validate data from a range of sources using software, including spreadsheets and databases	identifying strengths and weaknesses of collecting data using different methods, for example online surveys, face-to-face interviews, phone interviews, observation, comments in response to a social media posting, phone logs, browser history and online webcam systems
Digital technologies	Years 9 and 10	Processes and production skills	Acquiring, managing and analysing data	AC9TDI10P02	analyse and visualise data interactively using a range of software, including spreadsheets and databases, to draw conclusions and make predictions by identifying trends and outliers	summarising data, its attributes and the relationships between data sets, identifying trends and outliers to draw conclusions and make predictions, for example summarising data about electorates and their demographics, historical swings and exceptions to predict an election outcome
Digital technologies	Years 9 and 10	Processes and production skills	Acquiring, managing and analysing data	AC9TDI10P02	analyse and visualise data interactively using a range of software, including spreadsheets and databases, to draw conclusions and make predictions by identifying trends and outliers	developing interactive visualisations for exploring complex data, for example population, life expectancy and fertility rate in motion charts
Digital technologies	Years 9 and 10	Processes and production skills	Acquiring, managing and analysing data	AC9TDI10P02	analyse and visualise data interactively using a range of software, including spreadsheets and databases, to draw conclusions and make predictions by identifying trends and outliers	using software to visualise and compare data to identify patterns, relationships and trends, for example investigating emerging trends in Australia’s industries
Digital technologies	Years 9 and 10	Processes and production skills	Acquiring, managing and analysing data	AC9TDI10P02	analyse and visualise data interactively using a range of software, including spreadsheets and databases, to draw conclusions and make predictions by identifying trends and outliers	exploring machine learning, a form of artificial intelligence where an algorithm is trained using a data set, for example to classify images into categories
Digital technologies	Years 9 and 10	Processes and production skills	Acquiring, managing and analysing data	AC9TDI10P03	model and query entities and their relationships using structured data	modelling entities and processes, their attributes and the relationships between them, for example creating database tables for a movie, a user and their movie review, where a movie has a title, genre and release date, and a review has a movie, a user and their rating and comments
Digital technologies	Years 9 and 10	Processes and production skills	Acquiring, managing and analysing data	AC9TDI10P03	model and query entities and their relationships using structured data	using structured data to help in decision-making, for example creating a data schema for a relational database and building the database, incorporating query and reporting functionality to solve a problem of student choice
Digital technologies	Years 9 and 10	Processes and production skills	Acquiring, managing and analysing data	AC9TDI10P03	model and query entities and their relationships using structured data	interpreting and querying multi-table databases using SQL queries with SELECT, WHERE and simple JOIN/GROUP BY clauses and counting, for example checking that each user has only reviewed each movie once
Digital technologies	Years 9 and 10	Processes and production skills	Investigating and defining	AC9TDI10P04	define and decompose real world problems with design criteria and by interviewing stakeholders to create user stories	creating user stories by interviewing a stakeholder to complete a template such as "As a <type of user>, I want <some goal> so that <some reason>", for example interviewing an amateur athlete to complete the template, such as "As an athlete, I want to ensure my energy intake is high enough to complete a half marathon."
Digital technologies	Years 9 and 10	Processes and production skills	Investigating and defining	AC9TDI10P04	define and decompose real world problems with design criteria and by interviewing stakeholders to create user stories	defining the problem with precision and some awareness of scope, for example "How do we encourage people to balance their energy intake and expenditure?" and "Can this be solved in a specified timeframe?"
